,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00029000000000000027,0.29,0.28942057942057947,0.0005794205794205794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.999377208103578,-0.0006227918964220036,-0.0006227918964220036,0.9923674849862552,-0.007632515013744845,-0.007632515013744845,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,-0.0008509305211268026,0.10922829777664986,0.10901005941945376,0.00021823835719610358,0.0,0.0,0.999377208103578,-0.0006227918964220036,-0.0006227918964220036,0.007009723117322841,0.006680725767801765,0.007009723117322841,0.006680725767801765
2020-01-06,1.0045763841462687,0.005202416065257953,0.004576384146268708,0.9976557920019202,0.005328980539641925,-0.0023442079980797725,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.0,0.0,0.0,0.0,0.0,0.0,1.0045763841462687,0.005202416065257953,0.004576384146268708,0.006920592144348481,0.018871375417468528,0.006920592144348481,0.018871375417468528
2020-01-07,0.9955479213231706,-0.008987333333314251,-0.004452078676829396,0.9921105347344616,-0.005558287048413102,-0.007889465265538353,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9955479213231706,-0.008987333333314251,-0.004452078676829396,0.003437386588708957,0.01166457519884223,0.003437386588708957,0.01166457519884223
2020-01-08,0.988624910394938,-0.006953970552247557,-0.01137508960506195,0.9858377623318522,-0.006322654767785929,-0.014162237668147837,0.980383392509256,-0.0035572851485485835,-0.01961660749074401,0.0028830169726770027,0.06670555506399592,0.06657227723170024,0.00013327783229569615,0.0,0.0,0.988624910394938,-0.006953970552247557,-0.01137508960506195,0.002787148063085887,0.00824151788568206,0.002787148063085887,0.00824151788568206
2020-01-09,0.9866846878522669,-0.001962546687090949,-0.013315312147733072,0.9811617759730231,-0.004743160119742962,-0.01883822402697688,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,0.0,0.0,0.0,0.0,0.0,0.0,0.9866846878522669,-0.001962546687090949,-0.013315312147733072,0.005522911879243808,0.008831382293665868,0.005522911879243808,0.008831382293665868
2020-01-10,0.9864689168049837,-0.00021868287806603437,-0.01353108319501628,0.9770203694086426,-0.0042209212239984195,-0.022979630591357436,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,0.0,0.0,0.0,0.0,0.0,0.0,0.9864689168049837,-0.00021868287806603437,-0.01353108319501628,0.009448547396341156,0.012360139933351943,0.009448547396341156,0.012360139933351943
2020-01-13,0.998336326011293,0.012030190717763123,-0.0016636739887070373,0.9872324769724973,0.010452297499217611,-0.012767523027502725,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.0007339295381534883,0.03187540897848546,0.03181172184765931,6.368713082614477e-05,0.0,0.0,0.9983363260112929,0.012030190717763123,-0.0016636739887071483,0.011103849038795577,0.008861487726017026,0.011103849038795688,0.008861487726017137
2020-01-14,0.9961027837560159,-0.002237264333754929,-0.003897216243984092,0.9880758845331644,0.0008543150477116068,-0.011924115466835583,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9961027837560159,-0.002237264333754929,-0.003897216243984092,0.008026899222851491,0.00403882315790316,0.008026899222851491,0.00403882315790316
2020-01-15,0.9982820509750743,0.0021877935235166124,-0.0017179490249257245,0.986058149061168,-0.002042085535717497,-0.013941850938832046,0.981791807578454,-0.010354325353645222,-0.018208192421546032,0.0033601988155496066,0.03523897135641298,0.03516856382123534,7.040753517764832e-05,0.0,0.0,0.9982820509750742,0.0021877935235166124,-0.0017179490249258356,0.01222390191390621,0.016490243396620197,0.012223901913906321,0.016490243396620308
2020-01-16,1.002902707287504,0.004628608025073255,0.0029027072875040805,0.9919286377177476,0.005953491345483952,-0.008071362282252359,0.9842375582974203,0.0024911093167487852,-0.015762441702579677,0.0,0.0,0.0,0.0,0.0,0.0,1.002902707287504,0.004628608025073255,0.0029027072875040805,0.01097406956975644,0.018665148990083757,0.01097406956975644,0.018665148990083757
2020-01-17,1.0200150171921467,0.01706278164401942,0.02001501719214671,1.0087482210978045,0.01695644499059501,0.008748221097804487,0.9991988057989595,0.015200850013709966,-0.0008011942010405226,0.0,0.0,0.0,0.0,0.0,0.0,1.0200150171921467,0.01706278164401942,0.02001501719214671,0.011266796094342224,0.020816211393187234,0.011266796094342224,0.020816211393187234
2020-01-20,1.0204731246646848,0.0004491183608248406,0.02047312466468476,1.0067902575820575,-0.0019409833641303997,0.006790257582057535,1.0024373170957976,0.003241108053815722,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0204731246646848,0.0004491183608248406,0.02047312466468476,0.013682867082627226,0.01803580756888712,0.013682867082627226,0.01803580756888712
2020-01-21,1.0157264678502747,-0.004651427558143517,0.01572646785027465,0.9970368778384315,-0.009687598454766633,-0.0029631221615684655,0.9869531849577899,-0.015446484158099238,-0.013046815042210058,0.013755092908501304,0.0869787398565629,0.08680495616054577,0.0001737836960171087,0.0,0.0,1.0157264678502747,-0.004651427558143517,0.01572646785027465,0.018689590011843116,0.02877328289248471,0.018689590011843116,0.02877328289248471
2020-01-22,1.0187537608334192,0.0029804214805504436,0.018753760833419175,0.9966581010889497,-0.0003799024468412737,-0.0033418989110503006,0.9984650805832693,0.011664074650077572,-0.0015349194167306734,0.0016596518443746544,0.03757395230447679,0.037498879472699614,7.507283177717641e-05,0.0,0.0,1.0187537608334192,0.0029804214805504436,0.018753760833419175,0.022095659744469476,0.02028868025014985,0.022095659744469476,0.02028868025014985
2020-01-23,1.03067019257599,0.011697067731875066,0.03067019257599002,1.0074083348435279,0.010786280413345839,0.007408334843527875,1.0080541101262515,0.009603770556883662,0.008054110126251457,0.0,0.0,0.0,0.0,0.0,0.0,1.0306701925759902,0.011697067731875066,0.03067019257599024,0.023261857732462365,0.022616082449738784,0.023261857732462143,0.02261608244973856
2020-01-24,1.0285015653991794,-0.0021040942024243003,0.028501565399179363,1.00411563927692,-0.00326848156077586,0.004115639276919936,0.9983385762357369,-0.009637909109162623,-0.001661423764263148,0.0,0.0,0.0,0.0,0.0,0.0,1.0285015653991796,-0.0021040942024243003,0.028501565399179585,0.02438592612225965,0.030162989163442733,0.024385926122259427,0.03016298916344251
2020-01-27,1.0025208360960562,-0.025260758152603868,0.002520836096056245,0.9805911156049335,-0.023428102054985245,-0.019408884395066495,0.9654980476162364,-0.032895181455700695,-0.034501952383763634,0.0022127965383343007,0.07297882192063226,0.07283301008862302,0.0001458118320092553,0.0,0.0,1.0025208360960565,-0.025260758152603868,0.002520836096056467,0.02192972049112296,0.0370227884798201,0.02192972049112274,0.03702278847981988
2020-01-28,1.0081799989246978,0.0056449328780827646,0.008179998924697784,0.98497411980159,0.004469757197374413,-0.015025880198410002,0.982339993084429,0.01744379029017673,-0.017660006915571014,0.0,0.0,0.0,0.0,0.0,0.0,1.0081799989246982,0.0056449328780827646,0.008179998924698229,0.02320587912310823,0.025840005840269242,0.023205879123107787,0.025840005840268798
2020-01-29,1.0023376749119852,-0.00579492156057837,0.0023376749119852214,0.977294296344575,-0.007796979943556326,-0.022705703655425014,0.9731136093377077,-0.009392250963692894,-0.02688639066229226,0.0,0.0,0.0,0.0,0.0,0.0,1.0023376749119857,-0.00579492156057837,0.0023376749119856655,0.02504337856741068,0.029224065574277924,0.025043378567410235,0.02922406557427748
2020-01-30,1.003098076900373,0.000758628561432273,0.0030980769003730035,0.9783462615201901,0.001076405725020546,-0.021653738479809892,0.9743196174508533,0.001239329202236128,-0.02568038254914673,0.0,0.0,0.0,0.0,0.0,0.0,1.0030980769003734,0.000758628561432273,0.0030980769003734476,0.02475181538018334,0.028778459449520177,0.024751815380182896,0.028778459449519733
