,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,-0.0002100000000000002,0.21000000000000002,0.20958041958041962,0.0004195804195804196
2020-01-03,0.0,0.0,0.0,0.0
2020-01-06,0.004769658735311255,0.04479445318849975,0.044704953781529715,8.949940697002949e-05
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,-3.745004995005241e-05,0.024975024975024976,0.02492512482522473,4.99001498002497e-05
2020-01-10,-0.0003369752828310624,0.004592922679337947,0.004583746010647962,9.17666868998591e-06
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.0025849243674896496,0.05263756192941907,0.05253239197551414,0.0001051699539049332
2020-01-17,0.006330638538713077,0.03636700554425732,0.03629434419451855,7.266134973877588e-05
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0005527749985667424,0.0025580395658388344,0.002552928597675312,5.110968163514146e-06
2020-01-22,0.0020931639921921816,0.035293777038587305,0.03522326000154717,7.051703704013447e-05
2020-01-23,-0.0003763514925387201,0.03491704881782782,0.03484728448452546,6.976433330235328e-05
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0010430392217309257,0.0375378348059995,0.03746283413705645,7.500066894305597e-05
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.000105816854914611,0.03416370608017806,0.0340954469271707,6.825915300734877e-05
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,0.00012486809523335306,0.002479023734304562,0.0024740706399303267,4.953094374234889e-06
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.002049058180335814,0.027063621802137956,0.027009548631704114,5.407317043384208e-05
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,-1.5133997306709945e-05,0.0025394737488890207,0.0025343998752648668,5.073873624153888e-06
2020-02-11,-0.005428891586520646,0.05959820662009945,0.05947912928419515,0.00011907733590429463
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,0.00017424071749489977,0.0016401528299979735,0.0016368758013666036,3.277028631364577e-06
2020-02-27,-0.013052176152610714,0.05342817854289277,0.05332142893541446,0.00010674960747830724
2020-02-28,-0.0033595838264724037,0.02020119084741442,0.02016082882773927,4.036201967515369e-05
2020-03-02,-0.001158771750371251,0.05540883282885889,0.05529812587015987,0.00011070695869901879
2020-03-03,-0.0022328161792411426,0.021071348135630573,0.021029247539954984,4.210059567558556e-05
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.003139301188034649,0.053319958008941175,0.05321342462630593,0.00010653338263524713
2020-03-09,-0.000314725196825494,0.003351947023376481,0.0033452498265265753,6.6971968499030565e-06
2020-03-10,-0.0025795488321644273,0.042301814785374356,0.04221729567491407,8.451911046028844e-05
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,-0.00014313409404128065,0.0017582199101616874,0.0017547069832682576,3.5129268934299454e-06
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,-0.0028259032084200397,0.02488723689026851,0.024837512141237004,4.9724749031505515e-05
2020-03-18,-0.0033415918578258985,0.023842372785967812,0.02379473567750434,4.763710846347215e-05
2020-03-19,-0.0028887092207362016,0.024062186425333292,0.02401411012877918,4.8076296554112476e-05
2020-03-20,0.0002842033961455548,0.02326985632468959,0.02322336310525964,4.649321942994923e-05
2020-03-23,-0.00533638958324829,0.023515642530037437,0.02346865822927812,4.698430075931556e-05
2020-03-24,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0
2020-03-26,-0.000580612729507777,0.026020214564094195,0.025968226123406695,5.198844068750089e-05
2020-03-27,-0.026655744611881506,0.024661378950814133,0.024612105466396927,4.927348441721106e-05
2020-03-30,-0.002243481695004912,0.04558584396682766,0.04549476335950134,9.1080607326329e-05
2020-03-31,0.00038398101716771997,0.02242819925975691,0.02238338767282433,4.481158693258123e-05
2020-04-01,-0.0010294266628005939,0.0033246217055674827,0.0033179791047571582,6.642600810324641e-06
2020-04-02,-0.006029755895125763,0.015597508003437574,0.015566344151282857,3.116385215472044e-05
2020-04-03,-0.02244987129150393,0.033347557516474585,0.03328092902992818,6.662848654640276e-05
2020-04-06,0.000830664164999298,0.023630691509758845,0.02358347734090818,4.721416885066702e-05
2020-04-07,0.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0,0.0
2020-04-15,-0.009392320821699522,0.025108004287561523,0.02505783844482913,5.016584273239065e-05
2020-04-16,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0
